,days,covid_death,ebola_death,sars_death
0,0,17,898.0,4.0
1,1,18,898.0,4.0
2,2,26,898.0,9.0
3,3,42,898.0,10.0
4,4,56,898.0,10.0
5,5,82,898.0,11.0
6,6,131,898.0,11.0
7,7,133,1243.0,17.0
8,8,171,1243.0,17.0
9,9,213,1243.0,49.0
10,10,259,1376.0,53.0
11,11,362,1376.0,53.0
12,12,426,1376.0,54.0
13,13,492,1376.0,54.0
14,14,564,1386.0,58.0
15,15,634,1386.0,62.0
16,16,719,1386.0,78.0
17,17,806,1386.0,79.0
18,18,906,1513.0,84.0
19,19,1013,1513.0,89.0
20,20,1113,1590.0,89.0
21,21,1118,1590.0,98.0
22,22,1371,1590.0,103.0
23,23,1523,1590.0,106.0
24,24,1666,1687.0,111.0
25,25,1770,1687.0,116.0
26,26,1868,1698.0,119.0
27,27,2007,1698.0,119.0
28,28,2122,1837.0,144.0
29,29,2247,1837.0,154.0
30,30,2251,1837.0,159.0
31,31,2458,1837.0,165.0
32,32,2469,1837.0,182.0
33,33,2629,2006.0,182.0
34,34,2708,2006.0,182.0
35,35,2770,2078.0,217.0
36,36,2814,2078.0,229.0
37,37,2872,2078.0,251.0
38,38,2941,2078.0,263.0
39,39,2996,2078.0,274.0
40,40,3085,2337.0,293.0
41,41,3160,2337.0,293.0
42,42,3254,2430.0,321.0
43,43,3348,2430.0,353.0
44,44,3460,2430.0,372.0
45,45,3558,2430.0,391.0
46,46,3803,2430.0,417.0
47,47,3996,1587.0,435.0
48,48,4262,1587.0,435.0
49,49,4615,1611.0,461.0
50,50,4720,1611.0,478.0
51,51,5404,1611.0,495.0
52,52,5819,1611.0,506.0
53,53,6440,1611.0,514.0
54,54,7126,2945.0,526.0
55,55,7905,2945.0,526.0
56,56,8733,2945.0,552.0
57,57,9867,2990.0,573.0
58,58,11299,2990.0,587.0
59,59,12973,2990.0,598.0
60,60,14623,2990.0,611.0
61,61,16497,9.0,623.0
62,62,18615,9.0,623.0
63,63,21181,9.0,643.0
64,64,23970,9.0,662.0
65,65,27198,9.0,666.0
66,66,30652,9.0,682.0
67,67,33925,9.0,689.0
68,68,37582,1739.0,696.0
69,69,42107,1739.0,696.0
70,70,46809,1780.0,725.0
71,71,52983,1780.0,735.0
72,72,58787,1780.0,745.0
73,73,64606,1780.0,750.0
74,74,69374,1780.0,754.0
75,75,74565,1904.0,764.0
76,76,81865,1904.0,764.0
77,77,88338,1944.0,770.0
78,78,95455,1944.0,772.0
79,79,102525,1944.0,772.0
80,80,108502,1944.0,775.0
81,81,114089,1944.0,779.0
82,82,119482,2035.0,779.0
83,83,125984,2035.0,779.0
84,84,134177,2069.0,784.0
85,85,143801,2069.0,789.0
86,86,153822,2069.0,789.0
87,87,159510,2069.0,790.0
88,88,165044,2069.0,792.0
89,89,169986,2252.0,792.0
90,90,176583,2252.0,792.0
91,91,183066,2252.0,799.0
92,92,190858,2252.0,799.0
93,93,197151,2252.0,801.0
94,94,202846,2431.0,804.0
95,95,206544,2431.0,804.0
96,96,211167,2499.0,804.0
97,97,217153,2499.0,804.0
98,98,227638,2499.0,805.0
99,99,233388,2499.0,807.0
100,100,238650,2499.0,808.0
101,101,243808,2499.0,809.0
102,102,247470,2499.0,810.0
103,103,251537,2774.0,810.0
