Date,Price,Daily Change %
2020-01-22,2267.25,1.23
2020-01-23,2246.13,-0.93
2020-01-28,2176.72,-3.09
2020-01-29,2185.28,0.39
2020-01-30,2148.0,-1.71
2020-01-31,2119.01,-1.35
2020-02-03,2118.88,-0.01
2020-02-04,2157.9,1.84
2020-02-05,2165.63,0.36
2020-02-06,2227.94,2.88
2020-02-07,2211.95,-0.72
2020-02-10,2201.07,-0.49
2020-02-11,2223.12,1.0
2020-02-12,2238.38,0.69
2020-02-13,2232.96,-0.24
2020-02-14,2243.59,0.48
2020-02-17,2242.17,-0.06
2020-02-18,2208.88,-1.48
2020-02-19,2210.34,0.07
2020-02-20,2195.5,-0.67
2020-02-21,2162.84,-1.49
2020-02-24,2079.04,-3.87
2020-02-25,2103.61,1.18
2020-02-26,2076.77,-1.28
2020-02-27,2054.89,-1.05
2020-02-28,1987.01,-3.3
2020-03-02,2002.51,0.78
2020-03-03,2014.15,0.58
2020-03-04,2059.33,2.24
2020-03-05,2085.26,1.26
2020-03-06,2040.22,-2.16
2020-03-09,1954.77,-4.19
2020-03-10,1962.93,0.42
2020-03-11,1908.27,-2.78
2020-03-12,1834.33,-3.87
2020-03-13,1771.44,-3.43
2020-03-16,1714.86,-3.19
2020-03-17,1672.44,-2.47
2020-03-18,1591.2,-4.86
2020-03-19,1457.64,-8.39
2020-03-20,1566.15,7.44
2020-03-23,1482.46,-5.34
2020-03-24,1609.97,8.6
2020-03-25,1704.76,5.89
2020-03-26,1686.24,-1.09
2020-03-27,1717.73,1.87
2020-03-30,1717.12,-0.04
2020-03-31,1754.64,2.19
2020-04-01,1685.46,-3.94
2020-04-02,1724.86,2.34
2020-04-03,1725.44,0.03
2020-04-06,1791.88,3.85
2020-04-07,1823.6,1.77
2020-04-08,1807.14,-0.9
2020-04-09,1836.21,1.61
2020-04-10,1860.7,1.33
2020-04-13,1825.76,-1.88
2020-04-14,1857.08,1.72
2020-04-16,1857.07,-0.0
2020-04-17,1914.53,3.09
2020-04-20,1898.36,-0.84
2020-04-21,1879.38,-1.0
2020-04-22,1896.15,0.89
2020-04-23,1914.73,0.98
2020-04-24,1889.01,-1.34
2020-04-27,1922.77,1.79
2020-04-28,1934.09,0.59
2020-04-29,1947.56,0.7
2020-05-04,1895.37,-2.68
2020-05-06,1928.76,1.76
